timestamp,account_value,date,time
2025-09-29T15:55:49.729581,356231.88,2025-09-29,15:55:49
2025-09-29T15:56:38.857431,356105.18,2025-09-29,15:56:38
2025-09-30T01:46:46.701709,357902.14,2025-09-30,01:46:46
2025-09-30T03:02:22.649820,357583.03,2025-09-30,03:02:22
2025-09-30T03:04:42.463444,357557.33,2025-09-30,03:04:42
2025-09-30T03:51:44.554985,357743.29,2025-09-30,03:51:44
2025-09-30T03:53:17.745341,357734.19,2025-09-30,03:53:17
2025-09-30T04:00:27.850821,357773.69,2025-09-30,04:00:27
2025-09-30T04:07:07.069867,357739.99,2025-09-30,04:07:07
2025-09-30T13:49:48.564674,355527.95,2025-09-30,13:49:48
2025-09-30T13:50:24.870706,355493.83,2025-09-30,13:50:24
2025-09-30T13:53:12.465892,355339.54,2025-09-30,13:53:12
2025-09-30T13:53:28.624232,355336.20,2025-09-30,13:53:28
2025-09-30T14:11:51.283396,353806.37,2025-09-30,14:11:51
2025-09-30T14:12:13.337813,353958.24,2025-09-30,14:12:13
2025-09-30T14:23:25.139019,353833.31,2025-09-30,14:23:25
2025-09-30T14:23:27.918765,353885.55,2025-09-30,14:23:27
2025-09-30T14:23:28.957408,354027.36,2025-09-30,14:23:28
2025-09-30T14:23:33.894364,353930.75,2025-09-30,14:23:33
2025-09-30T14:23:41.597847,353941.01,2025-09-30,14:23:41
2025-09-30T14:23:42.717891,353940.30,2025-09-30,14:23:42
2025-09-30T14:23:43.665412,353962.35,2025-09-30,14:23:43
2025-09-30T14:23:45.206268,353936.15,2025-09-30,14:23:45
2025-09-30T14:23:46.979882,353910.78,2025-09-30,14:23:46
2025-09-30T14:24:00.836244,353821.09,2025-09-30,14:24:00
2025-09-30T14:34:12.498222,353132.01,2025-09-30,14:34:12
2025-09-30T14:51:14.111594,352817.77,2025-09-30,14:51:14
2025-09-30T14:51:54.286737,352765.34,2025-09-30,14:51:54
2025-09-30T15:02:41.281266,352441.26,2025-09-30,15:02:41
2025-09-30T15:06:28.553944,352467.62,2025-09-30,15:06:28
2025-09-30T15:07:17.332667,352408.09,2025-09-30,15:07:17
2025-09-30T15:08:25.738283,352353.92,2025-09-30,15:08:25
2025-09-30T15:26:09.756545,351641.04,2025-09-30,15:26:09
2025-10-01T01:10:34.368977,353100.72,2025-10-01,01:10:34
2025-10-01T01:12:38.095637,353429.95,2025-10-01,01:12:38
2025-10-01T05:09:23.713508,352420.72,2025-10-01,05:09:23
2025-10-01T05:09:26.307485,352420.72,2025-10-01,05:09:26
2025-10-01T05:09:27.250940,352420.72,2025-10-01,05:09:27
2025-10-01T05:09:33.544507,352420.72,2025-10-01,05:09:33
2025-10-01T05:09:38.795285,352413.22,2025-10-01,05:09:38
2025-10-01T05:09:39.359765,352413.22,2025-10-01,05:09:39
2025-10-01T05:09:39.917870,352408.22,2025-10-01,05:09:39
2025-10-01T05:09:41.504588,352408.22,2025-10-01,05:09:41
2025-10-01T05:09:43.646579,352408.22,2025-10-01,05:09:43
2025-10-01T05:35:49.251925,352495.42,2025-10-01,05:35:49
2025-10-01T05:35:51.699441,352495.42,2025-10-01,05:35:51
2025-10-01T05:35:52.180155,352495.42,2025-10-01,05:35:52
2025-10-01T05:35:57.086064,352495.42,2025-10-01,05:35:57
2025-10-01T05:36:01.948091,352500.42,2025-10-01,05:36:01
2025-10-01T05:36:02.516373,352500.42,2025-10-01,05:36:02
2025-10-01T05:36:03.464205,352500.42,2025-10-01,05:36:03
2025-10-01T05:36:05.342549,352500.42,2025-10-01,05:36:05
2025-10-01T05:36:06.965354,352500.42,2025-10-01,05:36:06
2025-10-01T05:36:51.199331,352523.72,2025-10-01,05:36:51
2025-10-01T05:36:53.760980,352516.22,2025-10-01,05:36:53
2025-10-01T05:36:54.373668,352516.22,2025-10-01,05:36:54
2025-10-01T05:36:59.578458,352516.22,2025-10-01,05:36:59
2025-10-01T05:37:04.569328,352516.22,2025-10-01,05:37:04
2025-10-01T05:37:05.177602,352516.22,2025-10-01,05:37:05
2025-10-01T05:37:05.797554,352516.22,2025-10-01,05:37:05
2025-10-01T05:37:07.202527,352516.22,2025-10-01,05:37:07
